Student_ID,Name,Gender,Department,Age,CGPA,Attendance_Percentage,Internships,Projects_Completed,Aptitude_Test_Score,Communication_Skill_Score,Placement_Status,Salary_Package_LPA
S0063,James,Male,EEE,21,6,62,0,5,55,70,Not Placed,0
S0064,Chad,Male,IT,23,9.43,72,4,4,85,84,Placed,7.45
S0065,Cheryl,Female,CSE,22,8.44,87,0,6,54,51,Not Placed,0
S0066,Kristy,Female,EEE,22,6.25,89,0,4,48,91,Not Placed,0
S0067,Randall,Male,CIVIL,24,9.08,87,4,5,93,98,Placed,7.01
S0068,Brian,Female,CIVIL,19,7.37,75,2,3,93,80,Placed,9.89
S0069,Tyler,Female,MECH,18,6.37,78,0,3,55,57,Not Placed,0
S0070,Kyle,Male,CSE,21,5.69,84,1,6,84,49,Not Placed,0
S0071,Kyle,Female,EEE,24,7.04,89,4,2,66,43,Not Placed,0
S0072,William,Male,ECE,20,7.92,61,5,5,94,96,Placed,6.42
S0073,Amber,Male,EEE,19,8.77,94,3,5,87,87,Placed,10.2
S0074,Abigail,Female,CIVIL,19,6.36,61,3,6,64,61,Not Placed,0
S0075,Miranda,Male,CSE,23,9.2,99,1,4,74,41,Not Placed,0
S0076,Margaret,Female,IT,21,7.14,71,3,4,43,56,Not Placed,0
S0077,Monica,Female,CSE,21,6.63,77,3,4,88,100,Not Placed,0
S0078,Andrea,Male,CIVIL,18,5.1,63,4,2,100,62,Not Placed,0
S0079,Brittany,Male,IT,19,8.77,72,1,5,93,41,Not Placed,0
S0080,Joseph,Female,ECE,19,7.37,96,0,4,100,53,Not Placed,0
S0081,Michele,Male,MECH,18,8.03,67,5,2,89,92,Placed,11.68
S0082,David,Male,CSE,23,9.64,84,4,6,65,100,Placed,4.78
S0083,Sherry,Male,ECE,22,8.86,98,5,5,91,47,Not Placed,0
S0084,Victoria,Female,EEE,18,7.14,64,2,3,72,81,Placed,3.11
S0085,David,Female,IT,23,7.17,100,2,4,97,93,Placed,9.37
S0086,Gregory,Female,EEE,24,7.61,77,5,5,79,91,Placed,9.97
S0087,Jason,Female,EEE,19,8.66,80,2,1,94,55,Not Placed,0
S0088,Jeremy,Female,IT,21,8.75,99,4,3,82,64,Placed,3.26
S0089,Kelly,Female,MECH,18,6.06,81,2,5,57,96,Not Placed,0
S0090,John,Female,MECH,24,7.58,65,1,4,55,86,Not Placed,0
S0091,Daniel,Male,ECE,19,6.2,91,3,1,68,90,Not Placed,0
S0092,Joshua,Female,EEE,23,7.02,79,1,3,82,77,Placed,7.26
S0093,Robert,Male,CSE,23,7.75,89,2,3,57,59,Not Placed,0
S0094,Melissa,Male,IT,19,5.96,94,0,6,100,88,Not Placed,0
S0095,Joseph,Male,IT,20,8.69,97,2,5,88,73,Placed,5.55
S0096,Carolyn,Male,ECE,18,6.14,79,1,5,40,85,Not Placed,0
S0097,Christopher,Female,CSE,24,9.87,78,4,2,84,100,Placed,8.74
S0098,Jonathan,Male,CSE,20,5.06,90,2,3,70,68,Not Placed,0
S0099,Erika,Female,CSE,22,9.71,67,3,4,92,44,Not Placed,0
S0100,Brian,Female,CSE,19,8.15,69,0,5,49,91,Not Placed,0
S0101,Stephen,Male,MECH,21,5.59,98,3,5,78,90,Not Placed,0
S0102,Kathleen,Male,MECH,23,7.25,79,3,4,95,77,Placed,5.75
S0103,Jennifer,Male,IT,19,5.5,100,1,6,53,56,Not Placed,0
S0104,Joel,Female,ECE,18,5.87,70,0,4,40,66,Not Placed,0
S0105,Daniel,Male,CIVIL,19,6.16,78,5,4,84,95,Not Placed,0
S0106,David,Male,CIVIL,19,9.62,97,5,2,82,91,Placed,6.83
S0107,Jeanette,Female,EEE,18,9.54,64,1,3,43,50,Not Placed,0
S0108,Natalie,Female,CSE,22,7.34,85,2,5,100,57,Placed,7.86
S0109,Andrew,Male,IT,23,5.2,80,3,1,78,56,Not Placed,0
S0110,Eddie,Female,MECH,18,9.18,97,4,6,100,41,Not Placed,0
S0111,Joseph,Male,MECH,21,8.82,90,1,4,73,81,Placed,11.24
S0112,Jeffrey,Male,IT,20,8.17,65,3,4,70,62,Placed,6
S0113,James,Male,EEE,18,7.06,78,3,4,82,100,Placed,10.32
S0114,Edward,Male,CIVIL,24,6.57,67,2,5,89,65,Not Placed,0
S0115,Kathryn,Female,CIVIL,21,7.71,63,3,3,52,73,Not Placed,0
S0116,Laurie,Female,CIVIL,21,8.8,77,1,3,75,48,Not Placed,0
S0117,Timothy,Male,ECE,22,5.61,98,5,6,91,55,Not Placed,0
S0118,Jason,Female,CSE,23,5.07,65,3,1,54,93,Not Placed,0
S0119,Michael,Female,EEE,19,9.16,78,3,3,72,85,Placed,6.74
S0120,Robin,Male,CSE,20,7.28,84,1,5,52,98,Not Placed,0
S0121,Michelle,Male,ECE,23,8.86,81,3,5,99,90,Placed,5.4
S0122,Victoria,Female,MECH,21,6.49,97,4,2,82,71,Not Placed,0
S0123,Kenneth,Male,CIVIL,19,6.73,94,4,3,64,69,Not Placed,0
S0124,Linda,Female,CIVIL,24,7.86,86,1,6,42,60,Not Placed,0
S0125,Joseph,Female,CSE,24,6.91,69,5,2,71,42,Not Placed,0
S0126,David,Female,CIVIL,19,9.23,93,0,1,98,69,Placed,9.5
S0127,Christian,Male,ECE,24,5.37,81,2,4,79,84,Not Placed,0
S0128,James,Female,MECH,18,8.37,84,4,6,60,80,Not Placed,0
S0129,Shelly,Male,EEE,18,8.09,100,1,3,83,98,Placed,11.98
S0130,Richard,Female,CSE,18,8.8,66,5,6,68,50,Not Placed,0
S0131,Sean,Male,IT,22,6.62,78,0,4,62,63,Not Placed,0
S0132,Bethany,Female,MECH,23,7.06,71,5,1,50,51,Not Placed,0
S0133,Lindsey,Female,EEE,20,6.2,69,4,6,54,69,Not Placed,0
S0134,Stacey,Female,MECH,20,8.33,78,3,2,83,74,Placed,3.66
S0135,Jose,Female,EEE,18,8.19,76,3,3,69,94,Placed,4.79
S0136,John,Female,CSE,24,6.19,82,4,6,76,58,Not Placed,0
S0137,Patricia,Male,MECH,23,8.29,60,2,6,76,95,Placed,10
S0138,Melissa,Male,MECH,20,7.48,74,2,3,78,91,Placed,4.97
S0139,Dave,Male,ECE,24,8.39,68,5,6,80,46,Not Placed,0
S0140,Cathy,Female,ECE,23,7.2,83,4,1,86,48,Not Placed,0
S0141,Brian,Female,IT,20,7.08,68,1,3,90,74,Placed,7.78
S0142,Sarah,Female,CSE,19,9.57,78,3,3,87,95,Placed,10.24
S0143,Jo,Female,CSE,20,8.77,85,1,5,94,91,Placed,6.29
S0144,Angela,Female,CIVIL,20,7.68,83,3,6,83,87,Placed,5.36
S0145,Felicia,Female,MECH,19,5.54,90,1,5,41,79,Not Placed,0
S0146,Lauren,Male,IT,18,8.24,89,5,3,98,84,Placed,8.84
S0147,Willie,Male,EEE,21,9.73,91,2,2,47,46,Not Placed,0
S0148,Brian,Male,EEE,23,6.86,94,5,6,66,77,Not Placed,0
S0149,Lauren,Male,CIVIL,20,5.5,99,3,3,66,100,Not Placed,0
S0150,Ricardo,Female,MECH,23,6.09,75,3,1,94,63,Not Placed,0
S0151,Alyssa,Male,CIVIL,19,6.79,77,3,4,52,47,Not Placed,0
S0152,Matthew,Male,IT,24,8.21,61,4,3,43,90,Not Placed,0
S0153,Kyle,Male,ECE,24,7.82,95,0,2,53,77,Not Placed,0
S0154,Elizabeth,Male,MECH,20,5.74,60,4,2,57,94,Not Placed,0
S0155,Anthony,Male,MECH,20,8.99,61,0,3,48,40,Not Placed,0
S0156,Rhonda,Male,CIVIL,18,5.08,63,2,4,48,87,Not Placed,0
S0157,Leonard,Male,MECH,18,7.38,92,2,4,77,46,Not Placed,0
S0158,Jennifer,Male,CSE,21,8.64,93,5,6,59,69,Not Placed,0
S0159,Ashley,Male,ECE,22,9.24,66,3,4,71,85,Placed,3.66
S0160,Yesenia,Female,EEE,22,5.74,77,1,5,79,80,Not Placed,0
S0161,Jacqueline,Male,CIVIL,23,7.65,92,3,1,78,67,Placed,10.14
S0162,Steven,Female,EEE,21,9.39,73,4,2,67,68,Placed,6.72
S0163,Christina,Female,IT,23,8.65,87,2,3,60,82,Not Placed,0
S0164,Lynn,Female,CSE,23,9.61,65,0,1,93,45,Not Placed,0
S0165,Sara,Female,CIVIL,18,8.69,95,1,5,43,77,Not Placed,0
S0166,Sean,Female,MECH,20,7.05,87,5,6,95,98,Placed,3.46
S0167,Patricia,Female,IT,24,6.76,92,4,6,53,49,Not Placed,0
S0168,Lori,Male,EEE,24,5.54,83,4,3,47,88,Not Placed,0
S0169,Michael,Female,CSE,19,7.8,99,4,5,83,81,Placed,3.24
S0170,Timothy,Male,MECH,23,6.37,81,2,2,62,40,Not Placed,0
S0171,Jennifer,Male,EEE,21,7,100,1,6,41,45,Not Placed,0
S0172,Kathleen,Male,CSE,19,7.27,83,1,3,59,86,Not Placed,0
S0173,Jennifer,Female,CIVIL,21,5.79,63,4,3,83,45,Not Placed,0
S0174,Miguel,Male,ECE,21,7.43,86,3,5,57,53,Not Placed,0
S0175,Richard,Female,CSE,19,5.55,97,5,6,71,73,Not Placed,0
S0176,Scott,Male,IT,24,6.98,63,4,3,40,53,Not Placed,0
S0177,David,Female,IT,19,6.28,67,2,6,40,71,Not Placed,0
S0178,Donna,Female,CSE,21,6.9,74,5,6,72,75,Not Placed,0
S0179,Jermaine,Female,MECH,21,9.31,87,0,1,41,69,Not Placed,0
S0180,Kimberly,Female,IT,24,7.87,100,5,1,66,58,Placed,6.65
S0181,Laura,Male,EEE,22,9.74,83,3,1,45,67,Not Placed,0
S0182,Carl,Female,IT,20,7,85,0,6,95,59,Not Placed,0
S0183,Alexandria,Male,ECE,20,8.9,92,0,5,80,47,Not Placed,0
S0184,Angela,Female,IT,19,8.64,69,5,2,55,46,Not Placed,0
S0185,Jasmin,Female,EEE,24,8.01,64,5,6,51,100,Not Placed,0
S0186,Lisa,Female,CIVIL,20,7.82,88,4,5,83,99,Placed,8.79
S0187,Ricky,Female,MECH,18,5.75,90,0,3,68,80,Not Placed,0
S0188,Jennifer,Male,ECE,24,6.76,79,0,1,69,68,Not Placed,0
S0189,Michelle,Female,EEE,22,6.44,65,5,5,79,78,Not Placed,0
S0190,Joseph,Female,MECH,21,7.77,62,5,5,68,98,Placed,8.87
S0191,David,Male,MECH,23,7.51,88,0,3,46,91,Not Placed,0
S0192,Holly,Male,ECE,20,5.86,88,1,5,68,73,Not Placed,0
S0193,Breanna,Female,CSE,20,9.59,86,3,6,89,61,Placed,8.38
S0194,Matthew,Male,ECE,18,5.47,84,5,6,58,56,Not Placed,0
S0195,Richard,Female,IT,22,7.91,82,1,6,59,81,Not Placed,0
S0196,Chad,Male,CIVIL,23,8.54,79,0,6,75,64,Placed,10.12
S0197,Alexandra,Female,MECH,20,9.14,93,5,6,45,81,Not Placed,0
S0198,Michael,Female,IT,19,5.09,71,2,3,100,53,Not Placed,0
S0199,Gregory,Male,CIVIL,20,10,64,1,1,58,94,Not Placed,0
S0200,Tyler,Male,CIVIL,21,9.38,68,4,2,78,64,Placed,4.46
S0201,Brian,Female,IT,22,5.22,75,2,3,68,79,Not Placed,0
S0202,Julie,Female,EEE,24,6.2,72,3,5,63,83,Not Placed,0
S0203,Scott,Male,MECH,19,6.41,92,3,2,73,66,Not Placed,0
S0204,Nicholas,Male,ECE,18,9.37,90,0,5,95,63,Placed,11.41
S0205,Jody,Male,IT,24,8.82,88,2,2,97,72,Placed,10.48
S0206,Wendy,Female,IT,21,7.26,61,2,4,66,43,Not Placed,0
S0207,Kristie,Female,IT,19,9.97,74,2,1,41,60,Not Placed,0
S0208,Rebecca,Female,MECH,18,5.19,68,3,4,88,85,Not Placed,0
S0209,Daniel,Female,CSE,24,9.53,76,0,2,53,93,Not Placed,0
S0210,Jimmy,Female,CSE,18,6.44,67,2,4,43,55,Not Placed,0
S0211,Justin,Male,CIVIL,19,9.18,98,3,6,74,41,Not Placed,0
S0212,Tyler,Female,IT,23,6.46,99,0,5,62,55,Not Placed,0
S0213,Jason,Male,EEE,24,8.34,83,4,5,44,73,Not Placed,0
S0214,Anna,Male,ECE,19,7.35,84,5,6,63,56,Placed,3.15
S0215,David,Male,CSE,20,8.66,66,5,6,89,77,Placed,9.81
S0216,Mary,Female,CIVIL,19,7.73,71,5,6,93,89,Placed,7.18
S0217,Jake,Male,IT,18,9.06,89,0,2,42,58,Not Placed,0
S0218,Sherri,Female,ECE,18,6.58,92,2,5,65,92,Not Placed,0
S0219,Rachel,Female,ECE,18,8.77,78,1,1,62,95,Placed,10.79
S0220,Luke,Male,EEE,23,9,85,3,4,87,68,Placed,6.05
S0221,Kimberly,Female,CSE,21,7.49,77,4,6,91,45,Not Placed,0
S0222,Bethany,Male,ECE,23,8.01,94,1,1,58,60,Not Placed,0
S0223,Brian,Female,ECE,21,6.48,98,3,2,85,67,Not Placed,0
S0224,Jocelyn,Male,CSE,23,5.21,99,2,6,67,57,Not Placed,0
S0225,Autumn,Male,IT,24,8.19,92,2,6,91,87,Placed,4.44
S0226,Ashlee,Female,ECE,21,8.04,62,3,2,48,44,Not Placed,0
S0227,Joseph,Female,ECE,21,9.75,98,0,4,49,83,Not Placed,0
S0228,Kyle,Female,IT,18,8.82,68,4,4,73,63,Placed,5.83
S0229,Gregory,Male,ECE,24,5.13,91,1,5,73,64,Not Placed,0
S0230,John,Female,IT,18,6.3,73,3,6,79,58,Not Placed,0
S0231,Angel,Female,CSE,24,5.68,88,0,6,51,97,Not Placed,0
S0232,Wesley,Female,ECE,24,8.41,82,2,5,85,44,Not Placed,0
S0233,Alexis,Male,CSE,19,5.79,100,5,3,51,90,Not Placed,0
S0234,Mark,Female,EEE,24,8.96,91,1,5,41,63,Not Placed,0
S0235,Mallory,Female,EEE,23,9.92,99,1,1,96,45,Not Placed,0
S0236,Kayla,Female,CIVIL,18,8.59,86,4,5,89,66,Placed,3.66
S0237,Heidi,Male,IT,21,7.25,93,5,5,62,48,Not Placed,0
S0238,Jesse,Male,IT,20,7.51,67,0,3,73,49,Not Placed,0
S0239,Melissa,Male,ECE,19,9.67,82,1,5,100,100,Placed,11.05
S0240,Albert,Male,MECH,23,8.18,77,4,3,48,80,Not Placed,0
S0241,John,Female,MECH,18,5.84,69,4,5,50,82,Not Placed,0
S0242,Susan,Female,CIVIL,19,9.13,65,0,6,42,100,Not Placed,0
S0243,Jeremy,Female,CIVIL,20,8.83,99,3,4,80,41,Not Placed,0
S0244,Jared,Male,IT,21,7.41,85,5,1,59,69,Not Placed,0
S0245,Lisa,Female,CIVIL,24,7.08,73,3,2,61,78,Placed,5.81
S0246,Abigail,Male,ECE,19,6.73,68,3,5,88,63,Not Placed,0
S0247,Elizabeth,Male,ECE,21,7.33,88,2,1,55,49,Not Placed,0
S0248,Kathleen,Female,IT,24,9.32,75,3,2,95,97,Placed,10.32
S0249,Kayla,Female,CSE,18,5.8,89,4,3,71,96,Not Placed,0
S0250,Nina,Female,CSE,18,9.73,89,4,5,55,53,Not Placed,0
S0251,Rachel,Male,EEE,19,6.41,90,4,1,58,74,Not Placed,0
S0252,Rick,Male,MECH,22,9.41,83,5,3,88,65,Placed,3.41
S0253,Benjamin,Female,MECH,20,5.97,78,4,5,44,64,Not Placed,0
S0254,Melissa,Female,ECE,24,9.13,99,4,1,47,48,Not Placed,0
S0255,Stephen,Female,MECH,18,9.93,83,4,2,88,49,Not Placed,0
S0256,Donald,Female,IT,22,5.23,81,1,5,91,70,Not Placed,0
S0257,Kyle,Female,MECH,20,9.47,80,1,3,99,79,Placed,4.46
S0258,David,Male,ECE,20,7.54,94,4,5,71,85,Placed,5.7
S0259,Michelle,Male,MECH,21,8.37,97,3,6,59,90,Not Placed,0
S0260,Angel,Male,MECH,21,6.33,97,5,6,76,54,Not Placed,0
S0261,Audrey,Male,CIVIL,19,5.85,99,5,4,89,93,Not Placed,0
S0262,Kenneth,Female,EEE,19,5.16,67,5,4,52,41,Not Placed,0
S0263,Stacey,Male,CIVIL,19,7.06,86,1,5,72,89,Placed,11.28
S0264,Janice,Male,EEE,22,7.59,80,4,5,82,70,Placed,6.39
S0265,Jeremiah,Male,ECE,22,6.71,76,2,2,79,70,Not Placed,0
S0266,Elizabeth,Female,ECE,21,6.49,78,2,6,85,53,Not Placed,0
S0267,Daniel,Female,EEE,24,6.74,77,5,5,58,47,Not Placed,0
S0268,Michael,Male,ECE,21,6.73,78,1,6,42,58,Not Placed,0
S0269,Amanda,Female,MECH,23,8.28,90,5,5,53,52,Not Placed,0
S0270,Sarah,Male,CSE,23,6.36,99,0,2,87,77,Not Placed,0
S0271,Nicole,Female,ECE,23,9.53,100,1,1,54,43,Not Placed,0
S0272,Roberto,Female,CIVIL,21,7.36,68,5,2,40,75,Not Placed,0
S0273,Zachary,Male,CSE,23,7.39,78,1,6,60,58,Not Placed,0
S0274,Frances,Male,CSE,24,7.87,62,4,2,98,98,Placed,6.76
S0275,Kathleen,Male,CSE,20,6.98,71,3,3,99,87,Not Placed,0
S0276,Meredith,Female,IT,24,7.84,81,0,6,58,69,Not Placed,0
S0277,Amy,Male,CIVIL,21,7.52,72,2,3,91,47,Not Placed,0
S0278,Karen,Female,MECH,23,8.24,71,5,3,40,87,Not Placed,0
S0279,Matthew,Female,CSE,21,8.79,99,1,4,94,80,Placed,10.44
S0280,Lauren,Female,IT,21,8.35,68,1,2,70,60,Placed,3.06
S0281,Courtney,Female,CIVIL,19,8.77,79,2,5,77,86,Placed,3.1
S0282,Robert,Female,CIVIL,18,5.31,89,0,4,59,50,Not Placed,0
S0283,Rebecca,Male,EEE,19,8.19,83,2,2,79,54,Not Placed,0
S0284,Robert,Male,IT,23,7.27,83,4,5,66,84,Placed,11.22
S0285,Reginald,Male,CSE,24,8.77,93,0,6,68,73,Placed,6.26
S0286,Rebecca,Female,CSE,23,7.74,72,4,2,76,74,Placed,4.48
S0287,Veronica,Female,CSE,21,6.03,91,4,5,45,97,Not Placed,0
S0288,Shelby,Female,CIVIL,24,5.66,89,3,5,76,43,Not Placed,0
S0289,Rebecca,Male,MECH,18,6.54,85,0,1,56,92,Not Placed,0
S0290,Erin,Female,CSE,20,5.23,64,2,1,74,43,Not Placed,0
S0291,Theresa,Female,EEE,18,7.04,86,1,4,63,97,Placed,7.04
S0292,Derek,Male,IT,22,8.41,94,5,3,48,81,Not Placed,0
S0293,Tiffany,Female,EEE,23,6.97,74,1,1,93,40,Not Placed,0
S0294,Sarah,Female,IT,20,8.6,94,3,2,64,92,Placed,5.23
S0295,Jaime,Female,MECH,24,5.94,67,5,6,42,91,Not Placed,0
S0296,Christina,Male,EEE,22,9.68,75,0,1,53,44,Not Placed,0
S0297,David,Female,IT,22,8.36,75,0,4,87,42,Not Placed,0
S0298,Emily,Female,MECH,22,6.09,68,0,2,72,58,Not Placed,0
S0299,Ann,Male,EEE,20,8.86,75,2,2,59,96,Not Placed,0
S0300,Megan,Female,MECH,21,6.38,97,4,2,96,87,Not Placed,0
S0301,Thomas,Female,EEE,19,5.23,84,2,3,90,73,Not Placed,0
S0302,Joanne,Female,CIVIL,19,6.5,94,1,2,70,55,Not Placed,0
S0303,Wendy,Female,IT,20,9.03,95,0,5,66,66,Placed,7.77
S0304,Jennifer,Male,MECH,23,6.02,65,5,3,99,68,Not Placed,0
S0305,Anthony,Male,IT,24,9.15,77,0,5,64,83,Placed,8.43
S0306,James,Female,ECE,18,8.81,95,5,2,53,70,Not Placed,0
S0307,Justin,Male,CIVIL,22,6.06,67,1,4,87,88,Not Placed,0
S0308,Erica,Female,ECE,20,8.52,75,3,3,75,60,Placed,6.43
S0309,Marcus,Female,ECE,19,6.8,89,3,6,46,91,Not Placed,0
S0310,Steven,Male,CSE,20,6.85,62,3,2,76,95,Not Placed,0
S0311,Alexa,Female,IT,21,7.77,97,4,3,86,66,Placed,4.37
S0312,Steve,Female,CIVIL,23,7.85,91,1,6,75,81,Placed,6.04
S0313,Bradley,Female,IT,22,8.7,70,3,3,86,90,Placed,4.52
S0314,James,Male,CSE,21,9.95,93,0,1,42,93,Not Placed,0
S0315,Brent,Male,IT,22,5.69,74,5,2,44,85,Not Placed,0
S0316,Stephen,Female,CSE,18,7.28,99,0,5,80,82,Placed,11.21
S0317,Jessica,Female,MECH,20,7.66,60,3,6,41,73,Not Placed,0
S0318,Derrick,Male,CSE,22,5.09,87,5,2,91,100,Not Placed,0
S0319,Amber,Female,EEE,18,5.74,99,1,3,73,56,Not Placed,0
S0320,Sean,Male,ECE,23,6.87,89,3,6,76,55,Not Placed,0
S0321,Shane,Female,MECH,21,9.14,62,0,4,45,65,Not Placed,0
S0322,Brendan,Female,MECH,24,5.28,70,0,4,45,71,Not Placed,0
S0323,Lauren,Female,ECE,18,9.87,62,4,6,54,53,Not Placed,0
S0324,Susan,Male,ECE,18,9.62,77,5,5,97,74,Placed,8.92
S0325,Katie,Male,ECE,19,9.81,69,4,6,88,92,Placed,10.39
S0326,David,Male,CIVIL,23,7.82,84,4,5,83,97,Placed,5.99
S0327,Luis,Male,CSE,20,5.39,82,5,4,43,46,Not Placed,0
S0328,Zachary,Female,EEE,21,8.03,98,4,3,65,89,Placed,3.27
S0329,Carl,Female,CSE,24,6.14,84,4,6,67,51,Not Placed,0
S0330,Kenneth,Female,CIVIL,24,8.09,64,1,2,45,57,Not Placed,0
S0331,Andrew,Male,CSE,20,8.17,84,5,1,60,63,Not Placed,0
S0332,Meredith,Female,EEE,22,7.22,66,2,2,48,45,Not Placed,0
S0333,Jared,Male,MECH,22,7.77,66,3,3,41,45,Not Placed,0
S0334,Aaron,Male,CIVIL,22,8.92,60,3,4,58,66,Not Placed,0
S0335,Todd,Female,IT,19,9.53,96,1,6,73,50,Not Placed,0
S0336,Kimberly,Female,ECE,21,6.34,91,2,2,49,44,Not Placed,0
S0337,Jonathan,Female,MECH,22,6.5,83,0,2,56,100,Not Placed,0
S0338,Karl,Female,MECH,21,5.98,68,0,4,59,40,Not Placed,0
S0339,Samantha,Male,ECE,20,9.02,88,2,6,61,67,Placed,11.77
S0340,Brenda,Female,ECE,23,8.02,72,5,2,70,60,Placed,11.68
S0341,Shane,Female,ECE,24,8.47,96,3,3,90,55,Not Placed,0
S0342,Laura,Male,CIVIL,24,8.93,67,2,2,99,76,Placed,8.33
S0343,Nicholas,Female,CIVIL,18,7.75,89,5,2,100,85,Placed,6.95
S0344,Michael,Male,ECE,23,9.09,91,3,3,48,80,Not Placed,0
S0345,Elizabeth,Female,MECH,21,5.77,84,3,5,44,68,Not Placed,0
S0346,Jessica,Male,CSE,24,7.67,86,5,3,74,42,Not Placed,0
S0347,Jennifer,Male,MECH,23,6.24,82,5,5,50,81,Not Placed,0
